"Id","Name","countryName","century","continentName","gender","domain"
1,"Alexander I of Yugoslavia","UNKNOWN",1800,"EUROPE","Male","INSTITUTIONS"
2,"Aung San","UNKNOWN",1900,"ASIA","Male","INSTITUTIONS"
3,"Aung San Suu Kyi","UNKNOWN",1900,"ASIA","Female","PUBLIC FIGURE"
4,"Chow Yun-Fat","UNKNOWN",1900,"ASIA","Male","ARTS"
5,"Claude Makélélé","UNKNOWN",1900,"AFRICA","Male","SPORTS"
6,"Constans II","UNKNOWN",600,"UNKNOWN","Male","INSTITUTIONS"
7,"Dejan Savićević","UNKNOWN",1900,"EUROPE","Male","SPORTS"
8,"François Bozizé","UNKNOWN",1900,"AFRICA","Male","INSTITUTIONS"
9,"Jackie Chan","UNKNOWN",1900,"ASIA","Male","ARTS"
10,"José Bosingwa","UNKNOWN",1900,"AFRICA","Male","SPORTS"
11,"José Ramos-Horta","UNKNOWN",1900,"ASIA","Male","INSTITUTIONS"
12,"Joseph Kabila","UNKNOWN",1900,"AFRICA","Male","INSTITUTIONS"
13,"Léon M'ba","UNKNOWN",1900,"AFRICA","Male","INSTITUTIONS"
14,"Leslie Cheung","UNKNOWN",1900,"ASIA","Male","ARTS"
15,"Milo Đukanović","UNKNOWN",1900,"EUROPE","Male","INSTITUTIONS"
16,"Mirko Vučinić","UNKNOWN",1900,"EUROPE","Male","SPORTS"
17,"Mobutu Sese Seko","UNKNOWN",1900,"AFRICA","Male","INSTITUTIONS"
18,"Mustafa III","UNKNOWN",1700,"UNKNOWN","Male","INSTITUTIONS"
19,"Ne Win","UNKNOWN",1900,"ASIA","Male","INSTITUTIONS"
20,"Nick Drake","UNKNOWN",1900,"ASIA","Male","ARTS"
21,"Niels Ryberg Finsen","UNKNOWN",1800,"EUROPE","Male","SCIENCE"
22,"Nikephoros I","UNKNOWN",700,"UNKNOWN","Male","INSTITUTIONS"
23,"Omar Bongo","UNKNOWN",1900,"AFRICA","Male","INSTITUTIONS"
24,"Predrag Mijatović","UNKNOWN",1900,"EUROPE","Male","SPORTS"
25,"Radovan Karadžić","UNKNOWN",1900,"EUROPE","Male","INSTITUTIONS"
